Price,Close,High,Low,Open,Volume,20EMA,50EMA,100EMA,200EMA
Ticker,APLE,APLE,APLE,APLE,APLE,,,,
Date,,,,,,,,,
2015-05-18,10.649881362915039,10.649881362915039,10.075971495729794,10.649881362915039,2197500,10.649881362915039,10.649881362915039,10.649881362915039,10.649881362915039
2015-05-19,11.123211860656738,11.330293166634874,10.602551355356766,10.602551355356766,1978700,10.694960457938057,10.668443343218634,10.659254244058438,10.654591119111474
2015-05-20,11.010797500610352,11.146879085873096,10.86288243962849,11.064047012844009,717600,10.725040176287798,10.681868996449682,10.666215496663428,10.658135461215942
2015-05-21,10.797798156738281,11.040378737376606,10.661716587795263,11.004879442978911,793000,10.731969507759274,10.686415238029628,10.668821093892634,10.659525139778355
2015-05-22,10.77413272857666,10.886548493285991,10.679467177822186,10.79779968051647,536200,10.735985052599025,10.689855139619707,10.670906472797268,10.660665513796248
2015-05-26,10.791881561279297,10.916130786055882,10.714966234324066,10.797798298506967,681400,10.741308529616193,10.693856175763221,10.673302019103842,10.661971146109513
2015-05-27,11.09528636932373,11.125033126822993,10.708587599615504,10.827572360167007,652700,10.775020704826435,10.709598536295005,10.68165814485077,10.66628274037035
2015-05-28,11.017953872680664,11.125039996356422,10.898969038657937,10.964410810842784,949800,10.798157197003029,10.721690902427776,10.688317466193936,10.66978195561722
2015-05-29,10.976310729980469,11.00605637440022,10.77403717070009,10.904919594760031,565500,10.815124200143737,10.731675993704352,10.6940203031006,10.672831993173073
2015-06-01,10.994157791137695,11.006056502933994,10.857326009651102,10.904919722112684,1014500,10.832175018333638,10.741969397525267,10.699963619695394,10.676029264794613
2015-06-02,11.107187271118164,11.125035329150949,10.904913818971929,10.904913818971929,922000,10.858366661455973,10.75629166707793,10.708027454377033,10.680319394210768
2015-06-03,11.261869430541992,11.273768138426533,11.012002238582843,11.125037694039497,1165000,10.896795496607023,10.776118246037305,10.718994622221883,10.686105961736452
2015-06-04,11.249968528747559,11.261867234311675,11.142882448116541,11.249968528747559,928000,10.93043102347755,10.794700610065156,10.72950895700457,10.691716534542532
2015-06-05,11.220222473144531,11.24401874864539,11.083389633803447,11.232120043533474,711900,10.95803020916012,10.811387741950623,10.739226056334076,10.696975300100762
2015-06-08,11.226168632507324,11.244015550375812,11.083386481223513,11.125031937269505,787200,10.983567201859852,10.827653659227357,10.748868483585031,10.702240905398341
2015-06-09,11.244020462036133,11.261868522423736,11.196426769059002,11.244020462036133,959300,11.008372274257592,10.843981769141427,10.75867347325733,10.70763174675792
2015-06-10,11.220222473144531,11.267816158869222,11.214273120588574,11.24401874864539,1091800,11.028548483675396,10.858736306553315,10.767813057413512,10.712732151995597
2015-06-11,11.220222473144531,11.24401874864539,11.202374415476658,11.220222473144531,860800,11.046803149339123,10.872912234654931,10.776771659705217,10.717781806932402
2015-06-12,11.130979537963867,11.220218661262763,11.101233920012628,11.172624991707227,911600,11.054819948255766,10.883032521059205,10.783785677096477,10.72189322714167
2015-06-15,11.184527397155762,11.217248271892702,11.053645032931074,11.113137429296144,776300,11.067173038627194,10.89485584953358,10.79172115670161,10.726496552216439
2015-06-16,11.23807430267334,11.267821078440681,11.077446252423584,11.1785830205856,1251100,11.083449349488733,10.90831539671553,10.800559832859467,10.731586878091633
2015-06-17,11.321358680725098,11.327308033009675,11.190475199910233,11.196424552194811,1459800,11.106107381035054,10.924513172559042,10.810872681332052,10.73745525423724
2015-06-18,11.363001823425293,11.42249420532525,11.273763817936759,11.29756008986306,998200,11.130573518405551,10.941708805926345,10.821805931670532,10.743679598209262
2015-06-19,11.214275360107422,11.363005799539287,11.202376652619304,11.351107092051171,440600,11.138545122377158,10.952397690404034,10.829577603520768,10.748362143103773
2015-06-22,11.119085311889648,11.297561342658057,11.119085311889648,11.214272679595856,646200,11.136691807092634,10.958934459874058,10.835310429429063,10.752050930852887
2015-06-23,11.160733222961426,11.303514320314392,10.92871408160327,10.976307780720925,972200,11.138981465746804,10.966848136857877,10.841754445142575,10.75611742132163
2015-06-24,11.303513526916504,11.446294614247611,11.075063106352804,11.148833731960334,742700,11.154651185858203,10.980050701173901,10.850898189336117,10.761564148740485
2015-06-25,11.273768424987793,11.386802748594361,11.249971008613821,11.303514060731992,1194200,11.165995684822926,10.991569043284251,10.859271857368823,10.766660708703146
2015-06-26,11.459172248840332,11.632615384008107,11.333576439851013,11.387403541058733,8790200,11.193917262348393,11.009906423894293,10.871151073041526,10.773551370794063
2015-06-29,11.279747009277344,11.465150796959193,11.279747009277344,11.375439360386865,722900,11.202091523960675,11.020488407634806,10.879242081679859,10.778588143316284
2015-06-30,11.285722732543945,11.465145523156687,11.273760908971822,11.423280281396535,490900,11.210056400968606,11.030889753709674,10.887291203479148,10.783634258631983
2015-07-01,11.303668022155762,11.333572590861419,11.237880252488626,11.285726421675022,652200,11.218971793462622,11.04158694070756,10.895536288997496,10.788808723940678
2015-07-02,11.25582504272461,11.336565689996757,11.25582504272461,11.303671225469996,341500,11.222481626725669,11.049988434904309,10.90267071976437,10.793455652485793
2015-07-06,11.243866920471191,11.297694036406678,11.154155440826496,11.207982556761984,422500,11.2245183213681,11.057591512769678,10.909427080174407,10.797937356644852
2015-07-07,11.142190933227539,11.339556597399264,11.124249326048433,11.201998952225079,448500,11.216677617735666,11.060909137101358,10.91403626538338,10.801362765367067
2015-07-08,11.124247550964355,11.225920824813356,11.034536107154743,11.148170070300232,423000,11.207874754233636,11.063392996468535,10.918198865097855,10.804575549303358
2015-07-09,11.172098159790039,11.202001606001454,11.046501176066723,11.202001606001454,353900,11.204467459524722,11.06765594404977,10.92322657390364,10.808232490701236
